2020-01-24,0.0,1.0,43.0
2020-01-25,0.0,1.0,62.0
2020-01-26,0.0,1.0,104.0
2020-01-27,0.0,1.0,128.0
2020-01-28,0.0,3.0,173.0
2020-01-29,0.0,3.0,296.0
2020-01-30,0.0,4.0,428.0
2020-01-31,0.0,14.0,538.0
2020-02-01,0.0,21.0,599.0
2020-02-02,1.0,32.0,661.0
2020-02-03,0.0,43.0,724.0
2020-02-04,0.0,62.0,829.0
2020-02-05,0.0,78.0,895.0
2020-02-06,0.0,94.0,954.0
2020-02-07,0.0,123.0,1006.0
2020-02-08,0.0,175.0,1048.0
2020-02-09,0.0,201.0,1075.0
2020-02-10,0.0,242.0,1092.0
2020-02-11,0.0,270.0,1117.0
2020-02-12,0.0,321.0,1131.0
2020-02-13,0.0,360.0,1145.0
2020-02-14,0.0,403.0,1155.0
2020-02-15,0.0,428.0,1162.0
2020-02-16,0.0,456.0,1167.0
2020-02-17,0.0,507.0,1171.0
2020-02-18,0.0,535.0,1172.0
2020-02-19,0.0,604.0,1174.0
2020-02-20,1.0,633.0,1175.0
2020-02-21,1.0,679.0,1203.0
2020-02-22,1.0,719.0,1205.0
2020-02-23,1.0,760.0,1205.0
2020-02-24,1.0,782.0,1205.0
2020-02-25,1.0,808.0,1205.0
2020-02-26,1.0,867.0,1205.0
